naslov	opis
Mali Buda (1993)	Lama Norbu comes to Seattle in search of the reincarnation of his dead teacher, Lama Dorje. His search leads him to young Jesse Conrad, Raju, a waif from Kathmandu, and an upper class ... See full summary »
Fresh (1994)	Michael (or Fresh as he's well known) is a 12-year-old drug pusher who lives in a crowded housing project with his cousins and aunt. His father has become a street bum, but still meets with... See full summary »
Spanking the Monkey (1994)	Raymond Aibelli is a promising medical student ready to begin a prestigious summer internship. But Susan, his mother, is immobilized by a broken leg, and his father Tom, a travelling ... See full summary »
Les roseaux sauvages (1994)	In a village in the Southwest of France, 1962. Maite and Francois are 18 years old. They are friends, not lovers. In Francois's classroom, there are Serge, whose brother has just married to... See full summary »
Men, Women & Children (2014)	A group of high school teenagers and their parents attempt to navigate the many ways the Internet has changed their relationships, their communication, their self-image, and their love lives.
Divje mrhe (2009)	In Bodeen, Texas, an indie-rock loving misfit finds a way of dealing with her small-town misery after she discovers a roller derby league in nearby Austin.
Caught (2015)	A desperate housewife discovers her husband is having an affair and kidnaps his unsuspecting mistress, but what starts as a prank quickly spirals out of control.
Hugo Pool (1997)	Hugo Pool is a quirky tale of a Los Angeles pool cleaner who falls in love with a young man dying of Lou Gerhig's Disease.
Welcome to Sarajevo (1997)	Journalist Floyd from US, Michael Henderson from UK and their teams meet the beginning of Bosnian war in Sarajevo. During their reports they find an orphanage run by devoted Mrs. Savic near... See full summary »
Orangutan v hotelu Majestic (1996)	Young boy befriends larcenous orangutan in luxury hotel.
Major Payne (1995)	Major Benson Winifred Payne is being discharged from the Marines. Payne is a killin' machine, but the wars of the world are no longer fought on the battlefield. A career Marine, he has no ... See full summary »
Man of the House (2005)	A Texas Ranger must protect a group of cheerleaders who have witnessed a murder.
I Love Trouble (1994)	Peter Brackett and Sabrina Peterson are two competing Chicago newspaper reporters who join forces to unravel the mystery behind a train derailment.
Detektiv Shame (1994)	A black detective becomes embroiled in a web of danger while searching for a fortune in missing drug money.During the course of his investigation, he encounters various old connections, ... See full summary »
Cops and Robbersons (1994)	When police discover that a mob hitman has moved in next door to the Robbersons, they want to find out what he is up to. So they set up a stakeout in the Robbersons' home. Hard-nosed, ... See full summary »
The Cowboy Way (1994)	Two buddies and championship rodeo partners travel to New York to find their missing friend, Nacho Salazar, after he disappears after travelling to New York City to pick up his daughter, ... See full summary »
The Endless Summer 2 (1994)	Bruce Brown, king of surfing documentaries, returns after nearly thirty years to trace the steps of two young surfers to top surfing spots around the world. Along the way we see many of the... See full summary »
In the Army Now (1994)	Two misguided youths join the reserves to make some money for their entrepreneurial dreams. No sooner than they finish basic training are they called up to do their part to save the free world.
The Inkwell (1994)	In 1976, Drew Tate is a young teenager who has trouble dealing with life after he accidentally sets his house on fire. His parents Kenny and Brenda decide to go to Martha's Vineyard to ... See full summary »
The Jezebels (1975)	The "Dagger Debs" are a gang of snarling girls, and Maggie is their newest member. Lace, the ever tooth-gritting leader, befriends her but soon has doubts --it seems Lace's man, Dominic, ... See full summary »
Young Guns II (1990)	Billy "The Kid" and his gang is wanted by the law, and when "Doc" Scurlock and Chavez are captured, Billy has to save them. They escape and set south for Mexico. "Let's hire a thief to ... See full summary »
Prefontaine (1997)	Based on the life of Olympic hopeful Steve Prefontaine, a long distance runner who lived in Oregon and died young
That Old Feeling (1997)	A bride's divorced parents find their old feelings for each other during the wedding reception and over the course of the next few days upsetting the newlywed's honeymoon.
A Letter from Death Row (1998)	A psychological thriller that takes you through the mind of convicted killer, Michael Raine, and his experiences on death row. Was he guilty of killing his girlfriend or was he a victim of ... See full summary »
The Boys of St. Vincent (1992)	The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.
Pred dežjem (1994)	The circularity of violence seen in a story that circles on itself. In Macedonia, during war in Bosnia, Christians hunt an ethnic Albanian girl who may have murdered one of their own. A ... See full summary »
Nekoc so bili bojevniki (1994)	A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
Jagode in cokolada (1993)	This Oscar nominated film is the story of two men who are opposites, one gay, the other straight, one a fierce communist, the other a fierce individualist, one suspicious, the other accepting, and how they come to love each other.
Les nuits fauves (1992)	Jean is young, gay, and promiscuous. Only after he meets one or two women, including Laura does he come to realize his bisexuality. Jean has to overcome a personal crisis (he is ... See full summary »
A Family Thing (1996)	Earl Pilcher Jr., runs an equipment rental outfit in Arkansas, lives with his wife and kids and parents, and rarely takes off his gimme cap. His mother dies, leaving a letter explaining ... See full summary »
V zenitu sonca (1960)	Tom Ripley is a talented mimic, moocher, forger and all-around criminal improviser; but there's more to Tom Ripley than even he can guess.
Dellamorte Dellamore (1994)	A cemetery man must kill the dead a second time when they become zombies.

Marlene Dietrich: Shadow and Light (1996)	Following the life of Marlene Dietrich through her films (including home movies) and interviews with family, friends, co-workers, acquaintances, and presumed lovers. From the cabaret scene ... See full summary »
